Touchdata_id,accx,accy,accz,color,completionPerc,event_index,fingerId,time,touchPhase,x,y,zone
1,0.0355682373,0.0350036621,-0.990448,RedDefault,0.0,0,0,1897.26636,Began,1815.0,469.000031,Outside
1,0.0323181152,0.0384979248,-0.989135742,RedDefault,0.0,1,0,1897.29968,Moved,1828.0,490.999969,Outside
1,0.0321807861,0.03715515,-0.9882202,RedDefault,0.0,2,0,1897.333,Moved,1823.0,499.999969,Outside
1,0.03529358,0.0373840332,-0.9933014,RedDefault,0.0,3,0,1897.433,Moved,1669.0,478.999969,Outside
1,0.03529358,0.0373840332,-0.9933014,RedDefault,0.0,4,0,1897.46631,Moved,1709.0,499.000031,Outside
1,0.03086853,0.0380249023,-0.9837036,RedDefault,0.0,5,0,1897.49963,Moved,1746.0,492.0,Outside
1,0.03086853,0.0380249023,-0.9837036,RedDefault,0.0,6,0,1897.533,Moved,1830.0,313.000031,Outside
1,0.0326690674,0.0397186279,-1.0105896,RedDefault,0.0,7,0,1897.56628,Moved,1819.0,408.0,Outside
1,0.0363464355,0.0368042,-0.984848,RedDefault,0.0,8,0,1897.59961,Moved,1806.0,457.999969,Outside
1,0.0363464355,0.0368042,-0.984848,RedDefault,0.0,9,0,1897.63293,Moved,1748.0,486.0,Outside
1,0.0344238281,0.03703308,-0.9848175,RedDefault,0.0,10,0,1897.66626,Moved,1683.0,456.0,Outside
1,0.0332489,0.0383453369,-0.992645264,RedDefault,0.0,11,0,1897.69958,Moved,1651.0,412.000031,Outside
1,0.0332489,0.0383453369,-0.992645264,RedDefault,0.0,12,0,1897.73291,Moved,1647.0,394.000031,Outside
1,0.0338592529,0.03831482,-0.9906311,RedDefault,0.0,13,0,1897.76624,Moved,1666.0,411.0,Outside
1,0.0325622559,0.037399292,-0.9864502,RedDefault,0.0,14,0,1897.79956,Moved,1729.0,447.0,Outside
1,0.033416748,0.03819275,-0.988571167,RedDefault,0.0,15,0,1897.83289,Moved,1806.0,484.999969,Outside
1,0.0344543457,0.0365753174,-0.9912262,RedDefault,0.0,16,0,1897.86621,Moved,1853.0,533.0,Outside
1,0.03439331,0.03778076,-0.9875946,RedDefault,0.0,17,0,1897.89966,Moved,1860.0,568.0,Outside
1,0.0325927734,0.0375823975,-0.9894104,RedDefault,0.0,18,0,1897.933,Moved,1824.0,575.0,Outside
1,0.03425598,0.03866577,-0.988769531,RedDefault,0.0,19,0,1897.96631,Moved,1734.0,541.0,Outside
1,0.03529358,0.03665161,-0.9866333,RedDefault,0.0,20,0,1897.99963,Moved,1653.0,481.999969,Outside
1,0.0332946777,0.0373840332,-0.989501953,RedDefault,0.0,21,0,1898.033,Moved,1610.0,433.000031,Outside
1,0.0338287354,0.03955078,-0.9942627,RedDefault,0.0,22,0,1898.06628,Moved,1608.0,418.999969,Outside
1,0.03337097,0.03779602,-0.992904663,RedDefault,0.0,23,0,1898.09961,Moved,1647.0,448.999969,Outside
1,0.0341796875,0.03742981,-0.988128662,RedDefault,0.0,24,0,1898.13293,Moved,1727.0,495.0,Outside
1,0.03388977,0.0381011963,-0.987609863,RedDefault,0.0,25,0,1898.16626,Moved,1811.0,527.0,Outside
1,0.0360107422,0.037109375,-0.9917145,RedDefault,0.0,26,0,1898.19958,Moved,1865.0,552.0,Outside
1,0.0339508057,0.03703308,-0.9893036,RedDefault,0.0,27,0,1898.23291,Moved,1869.0,563.0,Outside
1,0.0338439941,0.03778076,-0.9884949,RedDefault,0.0,28,0,1898.26624,Moved,1793.0,553.0,Outside
1,0.03125,0.0359649658,-0.987854,RedDefault,0.0,29,0,1898.29956,Moved,1681.0,498.0,Outside
1,0.0327301025,0.0404052734,-0.9906616,RedDefault,0.0,30,0,1898.33289,Moved,1596.0,433.000031,Outside
1,0.0379943848,0.03677368,-0.9903259,RedDefault,0.0,31,0,1898.36621,Moved,1566.0,394.999969,Outside
1,0.0361175537,0.0364532471,-0.987762451,RedDefault,0.0,32,0,1898.39954,Moved,1571.0,388.999969,Outside
1,0.0272369385,0.03967285,-0.9911041,RedDefault,0.0,33,0,1898.43286,Moved,1636.0,417.0,Outside
1,0.0315094,0.03933716,-0.9856415,RedDefault,0.0,34,0,1898.46619,Moved,1719.0,453.0,Outside
1,0.032913208,0.04020691,-0.989975,RedDefault,0.0,35,0,1898.49951,Moved,1780.0,475.999969,Outside
1,0.03555298,0.03630066,-0.9868927,RedDefault,0.0,36,0,1898.53284,Moved,1792.0,480.0,Outside
1,0.03425598,0.03614807,-0.985794067,RedDefault,0.0,37,0,1898.56628,Moved,1773.0,439.999969,Outside
1,0.0269775391,0.04032898,-0.9949951,RedDefault,0.0,38,0,1898.59961,Moved,1716.0,373.999969,Outside
1,0.0316925049,0.0365142822,-0.993087769,RedDefault,0.0,39,0,1898.63293,Moved,1678.0,340.999969,Outside
1,0.034576416,0.0378723145,-0.9902954,RedDefault,0.0,40,0,1898.66626,Moved,1656.0,345.0,Outside
1,0.0367431641,0.03883362,-0.987915039,RedDefault,0.0,41,0,1898.69958,Moved,1642.0,358.999969,Outside
1,0.0373840332,0.0357666,-0.985992432,RedDefault,0.0,42,0,1898.73291,Moved,1638.0,361.000031,Outside
1,0.0303497314,0.0379638672,-0.9891815,RedDefault,0.0,43,0,1898.76624,Moved,1675.0,376.999969,Outside
1,0.0312347412,0.038772583,-0.9866791,RedDefault,0.0,44,0,1898.79956,Moved,1741.0,393.0,Outside
1,0.0328063965,0.0372009277,-0.989608765,RedDefault,0.0,45,0,1898.83289,Moved,1809.0,382.999969,Outside
1,0.0300445557,0.040145874,-1.00167847,RedDefault,0.0,46,0,1898.86621,Moved,1832.0,381.0,Outside
1,0.0399169922,0.04147339,-0.982803345,RedDefault,0.0,47,0,1898.89954,Moved,1821.0,408.0,Outside
1,0.017578125,0.0381469727,-0.9869385,RedDefault,0.0,48,0,1898.93286,Moved,1770.0,426.0,Outside
1,0.0302581787,0.0400390625,-0.9858856,RedDefault,0.0,49,0,1898.96619,Moved,1696.0,397.999969,Outside
1,0.0318145752,0.034942627,-0.9854126,RedDefault,0.0,50,0,1898.99951,Moved,1626.0,316.999969,Outside
1,0.04220581,0.0419006348,-0.9879608,RedDefault,0.0,51,0,1899.03284,Moved,1594.0,247.000031,Outside
1,0.03363037,0.0393829346,-0.994796753,RedDefault,0.0,52,0,1899.06616,Moved,1593.0,235.999969,Outside
1,0.0347290039,0.0333099365,-0.993240356,RedDefault,0.0,53,0,1899.09949,Moved,1649.0,319.000031,Outside
1,0.0234680176,0.0288085938,-0.985733032,RedDefault,0.0,54,0,1899.13281,Moved,1748.0,429.0,Outside
1,0.0257720947,0.0480957031,-0.9885864,RedDefault,0.0,55,0,1899.16614,Moved,1831.0,489.0,Outside
1,0.0355834961,0.0386352539,-0.9880066,RedDefault,0.0,56,0,1899.19946,Moved,1850.0,501.0,Outside
1,0.0373535156,0.0350799561,-0.9917755,RedDefault,0.0,57,0,1899.23291,Moved,1827.0,477.0,Outside
1,0.0304107666,0.0426330566,-0.991760254,RedDefault,0.0,58,0,1899.26624,Moved,1769.0,436.000031,Outside
1,0.0358276367,0.035736084,-0.990020752,RedDefault,0.0,59,0,1899.29956,Moved,1734.0,418.999969,Outside
1,0.0372619629,0.0393981934,-0.985534668,RedDefault,0.0,60,0,1899.33289,Moved,1730.0,424.000031,Outside
1,0.0343475342,0.0378417969,-0.9854431,RedDefault,0.0,61,0,1899.36621,Moved,1737.0,435.0,Outside
1,0.0304260254,0.0376434326,-0.988250732,RedDefault,0.0,62,0,1899.39954,Moved,1742.0,429.0,Outside
1,0.0283966064,0.0381164551,-0.9924011,RedDefault,0.0,63,0,1899.43286,Moved,1742.0,372.0,Outside
1,0.0305633545,0.0388031,-0.9961853,RedDefault,0.0,64,0,1899.46619,Moved,1738.0,313.999969,Outside
1,0.03793335,0.0393829346,-0.9863281,RedDefault,0.0,65,0,1899.49951,Moved,1733.0,307.000031,Outside
1,0.0373687744,0.0357513428,-0.9720917,RedDefault,0.0,66,0,1899.53284,Ended,1730.0,313.999969,Outside
2,0.0353088379,0.0379638672,-0.9886322,RedDefault,0.0,0,0,1900.79944,Began,946.0,511.999969,Wall
2,0.0344543457,0.0389709473,-0.988739,RedDefault,0.421940923,1,0,1900.83276,Stationary,946.0,511.999969,Wall
2,0.0350799561,0.03831482,-0.9890137,RedDefault,0.843881845,2,0,1900.86609,Stationary,946.0,511.999969,Wall
2,0.034576416,0.03630066,-0.9894562,RedDefault,0.843881845,3,0,1900.89941,Moved,926.0,541.0,Wall
2,0.0320282,0.0382080078,-0.9894409,RedDefault,1.26582277,4,0,1900.93274,Moved,918.0,541.0,Wall
2,0.03314209,0.0370025635,-0.9878998,RedDefault,1.68776369,5,0,1900.96606,Moved,915.0,546.0,Wall
2,0.0348052979,0.0378265381,-0.9880371,RedDefault,1.68776369,6,0,1900.99939,Moved,923.0,566.0,Wall
2,0.0357208252,0.03741455,-0.9908142,RedDefault,1.68776369,7,0,1901.03271,Moved,957.0,594.0,Wall
2,0.0355987549,0.0371246338,-0.9889374,RedDefault,2.10970473,8,0,1901.066,Moved,1014.0,625.0,Wall
2,0.0343322754,0.0372619629,-0.988357544,RedDefault,2.53164554,9,0,1901.09937,Moved,1075.0,646.0,Wall
2,0.03315735,0.03791809,-0.9895935,RedDefault,2.95358658,10,0,1901.13269,Moved,1115.0,649.0,Wall
2,0.0348358154,0.0376434326,-0.9890747,RedDefault,3.37552738,11,0,1901.166,Moved,1126.0,636.0,Wall
2,0.03437805,0.0364837646,-0.9898987,RedDefault,3.79746819,12,0,1901.19946,Moved,1103.0,603.0,Wall
2,0.03616333,0.03715515,-0.989624,RedDefault,4.21940947,13,0,1901.23279,Moved,1025.0,558.0,Wall
2,0.0317993164,0.0387573242,-0.988723755,RedDefault,4.64135027,14,0,1901.26611,Moved,937.0,521.0,Wall
2,0.0310821533,0.03866577,-0.988266,RedDefault,4.64135027,15,0,1901.29944,Moved,875.0,504.0,Wall
2,0.03314209,0.037902832,-0.989471436,RedDefault,5.063291,16,0,1901.33276,Moved,851.0,502.999969,Wall
2,0.0374603271,0.0370025635,-0.98916626,RedDefault,5.48523235,17,0,1901.36609,Moved,855.0,527.0,Wall
2,0.03666687,0.0369567871,-0.988739,RedDefault,5.907173,18,0,1901.39941,Moved,904.0,566.0,Wall
2,0.0349578857,0.03781128,-0.988510132,RedDefault,6.329114,19,0,1901.43274,Moved,966.0,599.0,Wall
2,0.0337219238,0.03794861,-0.988052368,RedDefault,6.751055,20,0,1901.46606,Moved,1018.0,619.0,Wall
2,0.0331115723,0.0362854,-0.9901123,RedDefault,7.17299557,21,0,1901.49939,Moved,1051.0,621.0,Wall
2,0.0330810547,0.0384063721,-0.988830566,RedDefault,7.59493637,22,0,1901.53271,Moved,1056.0,616.0,Wall
2,0.0349578857,0.0382080078,-0.9898224,RedDefault,7.59493637,23,0,1901.566,Moved,1034.0,595.0,Wall
2,0.0319519043,0.037612915,-0.989242554,RedDefault,7.59493637,24,0,1901.59937,Moved,982.0,576.0,Wall
2,0.0329742432,0.0392608643,-0.9902954,RedDefault,7.59493637,25,0,1901.63269,Moved,930.0,561.0,Wall
2,0.03366089,0.037902832,-0.98916626,RedDefault,7.59493637,26,0,1901.666,Moved,893.0,550.0,Wall
2,0.03665161,0.03793335,-0.9884796,RedDefault,7.59493637,27,0,1901.69934,Moved,886.0,546.0,Wall
2,0.0325469971,0.0370178223,-0.988876343,RedDefault,7.59493637,28,0,1901.73267,Moved,911.0,546.0,Wall
2,0.03538513,0.0372009277,-0.9880676,RedDefault,7.59493637,29,0,1901.766,Moved,986.0,558.0,Wall
2,0.03277588,0.03845215,-0.9898987,RedDefault,7.59493637,30,0,1901.79932,Moved,1067.0,581.0,Wall
2,0.0342865,0.0368042,-0.988769531,RedDefault,7.59493637,31,0,1901.83264,Moved,1143.0,607.0,Wall
2,0.0342865,0.0368042,-0.988769531,RedDefault,8.016877,32,0,1901.86609,Moved,1181.0,627.0,Wall
2,0.03567505,0.0381164551,-0.9889984,RedDefault,8.438819,33,0,1901.89941,Moved,1174.0,630.0,Wall
2,0.0337371826,0.03756714,-0.988266,RedDefault,8.86076,34,0,1901.93274,Moved,1094.0,600.0,Wall
2,0.0337371826,0.03756714,-0.988266,RedDefault,8.86076,35,0,1901.96606,Moved,1005.0,553.0,Wall
2,0.0334625244,0.0375823975,-0.9897156,RedDefault,8.86076,36,0,1901.99939,Moved,945.0,507.0,Wall
2,0.0358734131,0.0378723145,-0.989563,RedDefault,9.282701,37,0,1902.03271,Moved,922.0,478.000031,Wall
2,0.0358734131,0.0378723145,-0.989563,RedDefault,9.282701,38,0,1902.066,Moved,924.0,475.000031,Wall
2,0.03489685,0.03753662,-0.9870148,RedDefault,9.282701,39,0,1902.09937,Moved,968.0,501.0,Bound
2,0.03340149,0.03756714,-0.9884186,RedDefault,9.282701,40,0,1902.13269,Moved,1032.0,533.0,Wall
2,0.03340149,0.03756714,-0.9884186,RedDefault,9.282701,41,0,1902.166,Moved,1088.0,559.0,Wall
2,0.0337219238,0.03742981,-0.988464355,RedDefault,9.704641,42,0,1902.19934,Moved,1123.0,578.0,Wall
2,0.0357513428,0.03753662,-0.98916626,RedDefault,9.704641,43,0,1902.23267,Moved,1127.0,585.0,Wall
2,0.0357513428,0.03753662,-0.98916626,RedDefault,9.704641,44,0,1902.266,Moved,1087.0,583.0,Wall
2,0.0331878662,0.03703308,-0.987091064,RedDefault,9.704641,45,0,1902.29932,Moved,1010.0,548.0,Wall
2,0.0353546143,0.0379943848,-0.9885559,RedDefault,9.704641,46,0,1902.33264,Moved,938.0,496.000031,Wall
2,0.0353546143,0.0379943848,-0.9885559,RedDefault,9.704641,47,0,1902.366,Moved,898.0,451.000031,Wall
2,0.032699585,0.0369567871,-0.989059448,RedDefault,9.704641,48,0,1902.39929,Moved,894.0,436.999969,Wall
2,0.03289795,0.03729248,-0.988983154,RedDefault,10.1265821,49,0,1902.43262,Moved,941.0,451.999969,Wall
2,0.03289795,0.03729248,-0.988983154,RedDefault,10.1265821,50,0,1902.466,Moved,1025.0,496.000031,Door
2,0.0365142822,0.0377044678,-0.988800049,RedDefault,10.5485229,51,0,1902.49927,Moved,1087.0,532.0,Wall
2,0.0343475342,0.03916931,-0.988052368,RedDefault,10.5485229,52,0,1902.53271,Moved,1106.0,547.0,Wall
2,0.0343475342,0.03916931,-0.988052368,RedDefault,10.9704647,53,0,1902.566,Moved,1090.0,544.0,Wall
2,0.0317077637,0.0373840332,-0.9884949,RedDefault,10.9704647,54,0,1902.59937,Moved,1029.0,499.999969,Door
2,0.029800415,0.0394134521,-0.9878082,RedDefault,10.9704647,55,0,1902.63269,Moved,971.0,444.0,Bound
2,0.029800415,0.0394134521,-0.9878082,RedDefault,11.3924046,56,0,1902.666,Moved,940.0,396.0,Wall
2,0.037902832,0.0364990234,-0.990036,RedDefault,11.3924046,57,0,1902.69934,Moved,935.0,388.000031,Wall
2,0.03819275,0.0373382568,-0.9887085,RedDefault,11.3924046,58,0,1902.73267,Moved,944.0,415.999969,Wall
2,0.03819275,0.0373382568,-0.9887085,RedDefault,11.3924046,59,0,1902.766,Ended,995.0,447.0,Wall
3,0.03161621,0.03831482,-0.9876251,RedDefault,11.8143463,0,0,1902.866,Began,1057.0,454.000031,Door
3,0.03640747,0.0370636,-0.9890747,RedDefault,12.2362871,1,0,1902.89929,Moved,1017.0,423.0,Door
3,0.03315735,0.0371246338,-0.9877472,RedDefault,12.2362871,2,0,1902.93262,Moved,982.0,361.000031,Door
3,0.0335693359,0.03807068,-0.9894104,RedDefault,12.6582279,3,0,1902.966,Moved,969.0,310.999969,Bound
3,0.0358734131,0.0378875732,-0.9895477,RedDefault,13.08017,4,0,1902.99927,Moved,963.0,301.000031,Wall
3,0.03552246,0.03741455,-0.988647461,RedDefault,13.50211,5,0,1903.03259,Moved,947.0,316.000031,Wall
3,0.03489685,0.0374603271,-0.988433838,RedDefault,13.92405,6,0,1903.06592,Moved,939.0,321.0,Wall
3,0.0329742432,0.0383758545,-0.987609863,RedDefault,13.92405,7,0,1903.09924,Moved,957.0,321.0,Wall
3,0.03253174,0.03895569,-0.988647461,RedDefault,13.92405,8,0,1903.13257,Moved,1043.0,318.0,Door
3,0.03289795,0.0375823975,-0.9889221,RedDefault,14.3459911,9,0,1903.16589,Moved,1136.0,306.0,Door
3,0.032913208,0.03807068,-0.9913788,RedDefault,14.7679329,10,0,1903.19934,Moved,1171.0,307.000031,Bound
3,0.0356140137,0.03793335,-0.988204956,RedDefault,15.1898727,11,0,1903.23267,Moved,1172.0,316.999969,Bound
3,0.0333251953,0.03866577,-0.9896698,RedDefault,15.6118135,12,0,1903.266,Moved,1151.0,333.0,Door
3,0.03352356,0.03703308,-0.9871826,RedDefault,16.0337543,13,0,1903.29932,Moved,1089.0,346.000031,Door
3,0.03475952,0.037399292,-0.986465454,RedDefault,16.4556961,14,0,1903.33264,Moved,1025.0,342.0,Door
3,0.03479004,0.0380859375,-0.986984253,RedDefault,16.8776379,15,0,1903.366,Moved,981.0,313.999969,Door
3,0.0364837646,0.03578186,-0.9873047,RedDefault,17.2995777,16,0,1903.39929,Moved,976.0,289.000031,Door
3,0.0385284424,0.03652954,-0.9884033,RedDefault,17.2995777,17,0,1903.43262,Moved,996.0,276.0,Door
3,0.0326843262,0.03842163,-0.990692139,RedDefault,17.2995777,18,0,1903.466,Moved,1057.0,301.000031,Door
3,0.0281219482,0.0378570557,-0.9873657,RedDefault,17.72152,19,0,1903.49927,Moved,1105.0,343.999969,Door
3,0.0316619873,0.03666687,-0.988678,RedDefault,17.72152,20,0,1903.53259,Moved,1155.0,379.000031,Door
3,0.03578186,0.03868103,-0.9890442,RedDefault,17.72152,21,0,1903.56592,Moved,1175.0,393.0,Bound
3,0.0364837646,0.03756714,-0.9875183,RedDefault,18.14346,22,0,1903.59924,Moved,1168.0,406.999969,Bound
3,0.0328521729,0.03878784,-0.988464355,RedDefault,18.5654011,23,0,1903.63257,Moved,1119.0,409.999969,Door
3,0.02935791,0.03845215,-0.9883728,RedDefault,18.98734,24,0,1903.66589,Moved,1055.0,393.0,Door
3,0.0330963135,0.0372619629,-0.9882202,RedDefault,18.98734,25,0,1903.69922,Moved,994.0,361.999969,Door
3,0.0359649658,0.03727722,-0.988174438,RedDefault,18.98734,26,0,1903.73254,Moved,950.0,337.000031,Wall
3,0.0343475342,0.038772583,-0.988616943,RedDefault,18.98734,27,0,1903.76587,Moved,940.0,334.000031,Wall
3,0.03540039,0.03640747,-0.987060547,RedDefault,18.98734,28,0,1903.79919,Moved,939.0,340.999969,Wall
3,0.0342407227,0.0375823975,-0.988128662,RedDefault,18.98734,29,0,1903.83252,Moved,973.0,367.999969,Bound
3,0.036026,0.0376281738,-0.9884796,RedDefault,18.98734,30,0,1903.866,Moved,1047.0,414.0,Door
3,0.0343475342,0.0362091064,-0.988800049,RedDefault,18.98734,31,0,1903.89929,Moved,1132.0,460.000031,Door
3,0.0317230225,0.03895569,-0.98739624,RedDefault,18.98734,32,0,1903.93262,Moved,1187.0,489.0,Wall
3,0.03175354,0.0369567871,-0.9894562,RedDefault,19.4092827,33,0,1903.966,Moved,1192.0,496.999969,Wall
3,0.0330963135,0.0383300781,-0.990310669,RedDefault,19.4092827,34,0,1903.99927,Moved,1145.0,484.000031,Door
3,0.0344238281,0.0374755859,-0.9888153,RedDefault,19.4092827,35,0,1904.03259,Moved,1054.0,442.000031,Door
3,0.0361938477,0.0359954834,-0.987381,RedDefault,19.4092827,36,0,1904.06592,Moved,969.0,394.999969,Bound
3,0.03555298,0.0379638672,-0.9885559,RedDefault,19.4092827,37,0,1904.09924,Moved,924.0,367.999969,Wall
3,0.0345001221,0.0388641357,-0.988388062,RedDefault,19.4092827,38,0,1904.13257,Moved,915.0,364.000031,Wall
3,0.03250122,0.038269043,-0.9887085,RedDefault,19.4092827,39,0,1904.16589,Moved,931.0,379.000031,Wall
3,0.033996582,0.0380859375,-0.988769531,RedDefault,19.4092827,40,0,1904.19922,Moved,992.0,418.999969,Door
3,0.0342254639,0.03753662,-0.988098145,RedDefault,19.4092827,41,0,1904.23254,Moved,1072.0,466.000031,Door
3,0.0355682373,0.037399292,-0.9893646,RedDefault,19.4092827,42,0,1904.26587,Moved,1150.0,504.0,Door
3,0.0334777832,0.03717041,-0.9900665,RedDefault,19.4092827,43,0,1904.29919,Moved,1185.0,519.0,Wall
3,0.0363311768,0.0382537842,-0.9900055,RedDefault,19.4092827,44,0,1904.33252,Moved,1148.0,505.999969,Door
3,0.0352325439,0.03630066,-0.9868469,RedDefault,19.4092827,45,0,1904.36584,Moved,1041.0,445.999969,Door
3,0.03237915,0.0373382568,-0.9876709,RedDefault,19.4092827,46,0,1904.39917,Moved,974.0,399.0,Bound
3,0.0315094,0.0372161865,-0.9905243,RedDefault,19.4092827,47,0,1904.4325,Moved,964.0,376.000031,Bound
3,0.0332183838,0.036605835,-0.988830566,RedDefault,19.4092827,48,0,1904.46582,Moved,973.0,367.999969,Bound
3,0.0328369141,0.0397338867,-0.9901428,RedDefault,19.4092827,49,0,1904.49915,Moved,1007.0,373.999969,Door
3,0.03503418,0.0378570557,-0.986953735,RedDefault,19.4092827,50,0,1904.53259,Moved,1055.0,397.999969,Door
3,0.03503418,0.0378570557,-0.986953735,RedDefault,19.4092827,51,0,1904.56592,Moved,1120.0,420.0,Door
3,0.0339813232,0.0359802246,-0.9881897,RedDefault,19.4092827,52,0,1904.59924,Moved,1161.0,427.999969,Door
3,0.03363037,0.0369873047,-0.990386963,RedDefault,19.4092827,53,0,1904.63257,Moved,1167.0,427.999969,Bound
3,0.03363037,0.0369873047,-0.990386963,RedDefault,19.4092827,54,0,1904.66589,Moved,1135.0,427.000031,Door
3,0.0345611572,0.0378570557,-0.9871521,RedDefault,19.4092827,55,0,1904.69922,Moved,1064.0,397.000031,Door
3,0.0327911377,0.03904724,-0.9868164,RedDefault,19.4092827,56,0,1904.73254,Moved,1018.0,366.0,Door
3,0.0327911377,0.03904724,-0.9868164,RedDefault,19.4092827,57,0,1904.76587,Moved,1011.0,340.000031,Door
3,0.03465271,0.0390167236,-0.9897156,RedDefault,19.4092827,58,0,1904.79919,Moved,1014.0,334.000031,Door
3,0.03314209,0.0382080078,-0.987854,RedDefault,19.4092827,59,0,1904.83252,Moved,1027.0,349.000031,Door
3,0.03314209,0.0382080078,-0.987854,RedDefault,19.4092827,60,0,1904.86584,Moved,1036.0,352.000031,Door
3,0.03477478,0.0376434326,-0.9893646,RedDefault,19.4092827,61,0,1904.89917,Ended,1059.0,349.000031,Door
4,0.033493042,0.03741455,-0.9891052,RedDefault,19.4092827,0,0,1912.09875,Began,1644.0,567.0,Outside
4,0.0338287354,0.0357055664,-0.986831665,RedDefault,19.4092827,1,0,1912.13208,Stationary,1644.0,567.0,Outside
4,0.03517151,0.03616333,-0.9870148,RedDefault,19.4092827,2,0,1912.16541,Moved,1662.0,589.0,Outside
4,0.03567505,0.03703308,-0.9902344,RedDefault,19.4092827,3,0,1912.19873,Moved,1715.0,627.0,Outside
4,0.03253174,0.03564453,-0.9901123,RedDefault,19.4092827,4,0,1912.232,Moved,1765.0,668.0,Outside
4,0.03312683,0.0371246338,-0.989868164,RedDefault,19.4092827,5,0,1912.26538,Moved,1796.0,695.0,Outside
4,0.0319519043,0.0364685059,-0.988876343,RedDefault,19.4092827,6,0,1912.29871,Moved,1801.0,702.0,Outside
4,0.0329742432,0.0370788574,-0.9880829,RedDefault,19.4092827,7,0,1912.332,Moved,1781.0,699.0,Outside
4,0.0332183838,0.0383758545,-0.9889984,RedDefault,19.4092827,8,0,1912.36536,Moved,1731.0,668.0,Outside
4,0.0339508057,0.0372619629,-0.989242554,RedDefault,19.4092827,9,0,1912.3988,Moved,1680.0,630.0,Outside
4,0.03437805,0.0423736572,-0.98890686,RedDefault,19.4092827,10,0,1912.43213,Moved,1637.0,591.0,Outside
4,0.0351867676,0.0255584717,-0.987503052,RedDefault,19.4092827,11,0,1912.46545,Moved,1620.0,565.0,Outside
4,0.0371246338,0.04084778,-0.9883728,RedDefault,19.4092827,12,0,1912.49878,Moved,1619.0,554.0,Outside
4,0.0280456543,0.0413818359,-0.989944458,RedDefault,19.4092827,13,0,1912.5321,Moved,1634.0,552.0,Outside
4,0.03517151,0.0315704346,-0.988311768,RedDefault,19.4092827,14,0,1912.56543,Moved,1675.0,568.0,Outside
4,0.0310668945,0.04071045,-0.990127563,RedDefault,19.4092827,15,0,1912.59875,Moved,1721.0,604.0,Outside
4,0.03642273,0.0350646973,-0.989685059,RedDefault,19.4092827,16,0,1912.63208,Moved,1767.0,653.0,Outside
4,0.03579712,0.03666687,-0.991134644,RedDefault,19.4092827,17,0,1912.66541,Moved,1789.0,703.0,Outside
4,0.0279388428,0.0384063721,-0.9881134,RedDefault,19.4092827,18,0,1912.69873,Moved,1791.0,730.0,Outside
4,0.03126526,0.03718567,-0.989151,RedDefault,19.4092827,19,0,1912.732,Moved,1787.0,724.0,Outside
4,0.0358428955,0.03691101,-0.988128662,RedDefault,19.4092827,20,0,1912.76538,Moved,1775.0,673.0,Outside
4,0.0370178223,0.03793335,-0.990768433,RedDefault,19.4092827,21,0,1912.79871,Moved,1756.0,598.0,Outside
4,0.03364563,0.03692627,-0.991210938,RedDefault,19.4092827,22,0,1912.832,Moved,1722.0,525.0,Outside
4,0.03137207,0.03765869,-0.988800049,RedDefault,19.4092827,23,0,1912.86536,Moved,1681.0,466.999969,Outside
4,0.0317840576,0.03767395,-0.991943359,RedDefault,19.4092827,24,0,1912.89868,Moved,1641.0,421.000031,Outside
4,0.03416443,0.0353393555,-0.991272,RedDefault,19.4092827,25,0,1912.932,Moved,1612.0,403.999969,Outside
4,0.0348358154,0.0368347168,-0.988464355,RedDefault,19.4092827,26,0,1912.96533,Moved,1604.0,409.999969,Outside
4,0.03175354,0.0384063721,-0.988616943,RedDefault,19.4092827,27,0,1912.99866,Moved,1613.0,435.0,Outside
4,0.0321655273,0.0368347168,-0.987213135,RedDefault,19.4092827,28,0,1913.032,Moved,1661.0,475.000031,Outside
4,0.0335693359,0.0363311768,-0.98979187,RedDefault,19.4092827,29,0,1913.06543,Moved,1734.0,511.000031,Outside
4,0.03416443,0.036819458,-0.991577148,RedDefault,19.4092827,30,0,1913.09875,Moved,1801.0,552.0,Outside
4,0.0325622559,0.0370788574,-0.9880829,RedDefault,19.4092827,31,0,1913.13208,Moved,1835.0,599.0,Outside
4,0.034072876,0.0368652344,-0.9859772,RedDefault,19.4092827,32,0,1913.16541,Moved,1837.0,623.0,Outside
4,0.0345001221,0.03616333,-0.987731934,RedDefault,19.4092827,33,0,1913.19873,Moved,1813.0,609.0,Outside
4,0.032409668,0.0368347168,-0.9938507,RedDefault,19.4092827,34,0,1913.232,Moved,1789.0,564.0,Outside
4,0.0322113037,0.03791809,-0.992355347,RedDefault,19.4092827,35,0,1913.26538,Moved,1774.0,551.0,Outside
4,0.03326416,0.0364837646,-0.993347168,RedDefault,19.4092827,36,0,1913.29871,Ended,1755.0,540.0,Outside
5,0.03250122,0.0368804932,-0.9888153,RedDefault,19.4092827,0,0,1914.23193,Began,421.0,376.000031,Outside
5,0.03465271,0.0371246338,-0.990020752,RedDefault,19.4092827,1,0,1914.26526,Moved,438.0,402.0,Outside
5,0.0335998535,0.0364837646,-0.9882965,RedDefault,19.4092827,2,0,1914.29858,Moved,459.0,426.0,Outside
5,0.0329284668,0.0363616943,-0.9898529,RedDefault,19.4092827,3,0,1914.33191,Moved,486.0,450.0,Outside
5,0.03404236,0.0364837646,-0.989685059,RedDefault,19.4092827,4,0,1914.36523,Moved,510.0,469.999969,Outside
5,0.03466797,0.0364837646,-0.9892578,RedDefault,19.4092827,5,0,1914.39868,Moved,537.0,492.0,Outside
